X,Y,OGF_ID,MOH_SERVICE_PROVIDER_IDENT,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,FRENCH_NAME,ENGLISH_NAME_ALT,FRENCH_NAME_ALT,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID
-79.6183622,43.5816262,321016215,8957836,Pharmacy,Retail Pharmacy,Capital Pharmacy,,,,3075 Hurontario Street,,,Mississauga,L5A2G9,2025/04/09 21:35:55+00,2025/04/09 14:48:54+00,2025/04/09 17:54:59+00,2365953
-79.6937196,44.3874209,321015315,7873875,Pharmacy,Retail Pharmacy,City Centre Pharmacy,,,,101 Dunlop Street West,,,Barrie,L4N1A8,2025/04/09 21:38:20+00,2025/04/09 14:47:12+00,2025/04/09 17:54:59+00,2365969
-79.690449,43.4675258,321008193,3823,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,,,,1235 Trafalgar Road,,Practice Address,Oakville,L6H3P1,2025/04/09 21:31:24+00,2025/04/09 14:34:03+00,2025/04/09 17:54:59+00,2365985
-75.6838359,45.3943412,321012139,2581511,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1463,,,,1080 Bank Street,,,Ottawa,K1S3X3,2025/04/09 21:32:15+00,2025/04/09 14:41:18+00,2025/04/09 17:54:59+00,2366001
-80.1408049,42.8883487,321015860,8541795,Pharmacy,Long Term Care Facility,Gardenview Long Term Care Home,,,,72 Town Centre Drive,,,Townsend,N0A1S0,2025/04/09 21:34:34+00,2025/04/09 14:48:13+00,2025/04/09 17:54:59+00,2366017
-79.1873638,43.7686303,321013909,5960392,Pharmacy,Retail Pharmacy,Rexall #109,,,,4459 Kingston Road,,,Scarborough,M1E2N7,2025/04/09 21:37:08+00,2025/04/09 14:44:35+00,2025/04/09 17:54:59+00,2366033
-80.4927551,43.4468123,321011417,T0599,Licensed Retirement Home,,Victoria Place,,,,290 Queen Street South,,,Kitchener,N2G1W3,2025/04/09 21:29:56+00,2025/04/09 14:39:55+00,2025/04/09 17:54:59+00,2366049
-76.2531705,44.9045898,321006886,209,Family Health Team,Main,Perth Family Health Team,,,,14 Isabella Street,,209,Perth,K7H2W6,2025/04/09 21:35:24+00,2025/04/09 14:31:40+00,2025/04/09 17:54:59+00,2366065
-74.7309118,45.028183,321013389,5123154,Pharmacy,Retail Pharmacy,Respect Rx Cornwall,,,,3-805 Sydney Street,,,Cornwall,K6H3J7,2025/04/09 21:37:53+00,2025/04/09 14:43:38+00,2025/04/09 17:54:59+00,2366081
-78.9609033999999,43.9528478,321011903,1927115,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1221,,,,5979 Baldwin Street South,,,Brooklin,L1M2J7,2025/04/09 21:33:20+00,2025/04/09 14:40:51+00,2025/04/09 17:54:59+00,2366097
-79.7737081,43.2218048,321008774,4259,Licensed Lab and Specimen Collection Centre,Licensed Hospital Lab Location,St. Joseph's Centre For Ambulatory Health Services,,,,2757 King Street East,,"Billing, Administration, & Practice Address",Hamilton,L8G5E4,2025/04/09 21:29:42+00,2025/04/09 14:35:06+00,2025/04/09 17:54:59+00,2366113
-78.5565522,44.5382147,321010845,N0463,Licensed Retirement Home,,Aspira Kawartha Lakes Retirement Living,,,,60 West Street,,,Bobcaygeon,K0M1A0,2025/04/09 21:32:07+00,2025/04/09 14:38:50+00,2025/04/09 17:54:59+00,2366129
-94.4878788,49.7663311,321007795,3247,Mental Health and Addiction Organization,Mental Health Services,Kenora Sexual Assault Centre,,,,101 Chipman Street,,Administration And Practice Location,Kenora,P9N1V7,2025/04/09 21:37:42+00,2025/04/09 14:33:21+00,2025/04/09 17:54:59+00,2366145
-81.2126063,43.0055726000001,321007021,2279,Mental Health and Addiction Organization,Addiction Services,Turning Point Incorporated,,,,612 Mornington Avenue,,Administration And Practice Location,London,N5Y3G1,2025/04/09 21:32:34+00,2025/04/09 14:31:55+00,2025/04/09 17:54:59+00,2366161
-79.9971947,44.5255966,321016655,9360390,Pharmacy,Retail Pharmacy,Major's Pharmacy,,,,9-587 River Road West,,,Wasaga Beach,L9Z2P2,2025/04/09 21:29:29+00,2025/04/09 14:49:43+00,2025/04/09 17:54:59+00,2366177
-77.3721659,44.1615399,321014057,6147797,Pharmacy,Retail Pharmacy,Rexall Pharma Plus #2253,,,,173 Dundas Street East,,,Belleville,K8N1C9,2025/04/09 21:31:46+00,2025/04/09 14:44:51+00,2025/04/09 17:54:59+00,2366193
-79.4798402,44.0442688,321007783,3230,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Canadian Mental Health Association (Cmha) York Region Branch,,,,50 Eagle Street West,"Newmarket Provincial Courthouse, Room 2088",Practice Location,Newmarket,L3Y6B1,2025/04/09 21:34:51+00,2025/04/09 14:33:19+00,2025/04/09 17:54:59+00,2366209
-79.3257384,43.6830371,321012974,4395719,Pharmacy,Retail Pharmacy,Heritage Pharmacy,,,,1488 Danforth Avenue,,,Toronto,M4J1N4,2025/04/09 21:34:35+00,2025/04/09 14:42:52+00,2025/04/09 17:54:59+00,2366225
-80.0274134,45.3606702,321010725,N01258,Licensed Retirement Home,,Serenity Seniors Residence,,,,35 Tudhope Street,,,Parry Sound,P2A2H9,2025/04/09 21:36:45+00,2025/04/09 14:38:37+00,2025/04/09 17:54:59+00,2366241
-79.3931584,43.6994825,321008935,4374,Community Support Service,,The Governing Council Of The Salv Army In Cda(Meighen Retirement Res.),,,,"84 Davisville Avenue,",,,Toronto,M4S1G1,2025/04/09 21:30:23+00,2025/04/09 14:35:24+00,2025/04/09 17:54:59+00,2366257
-79.7115877,43.5586361,321016847,9538958,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #904,,,,5100 Erin Mills Parkway,,,Mississauga,L5M4Z5,2025/04/09 21:31:58+00,2025/04/09 14:50:05+00,2025/04/09 17:54:59+00,2366273
-79.6998548,44.3919851,321006789,1963,Mental Health and Addiction Organization,Addiction Services,Royal Victoria Regional Health Centre,,,,70 Wellington Street West,,Administration And Practice Location,Barrie,L4N1K4,2025/04/09 21:35:02+00,2025/04/09 14:31:29+00,2025/04/09 17:54:59+00,2366289
-75.7330593,45.3780983,321007526,30739,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Shepherds Of Good Hope,,,,1057 Merivale Road,The Oaks,Practice Location,Ottawa,K1Z6A9,2025/04/09 21:34:25+00,2025/04/09 14:32:50+00,2025/04/09 17:54:59+00,2366305
-77.3570262,44.1655184,321016766,9466311,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1309,,,,405 Dundas Street East,,,Belleville,K8N1E7,2025/04/09 21:30:53+00,2025/04/09 14:49:55+00,2025/04/09 17:54:59+00,2366321
-79.5267456,43.6462204,321016778,9486479,Pharmacy,Retail Pharmacy,Kings Al Shefa Pharmacy,,,,24 Mabelle Avenue,,,Etobicoke,M9A4X8,2025/04/09 21:36:06+00,2025/04/09 14:49:57+00,2025/04/09 17:54:59+00,2366337
-89.2562185,48.4434872,321006544,15322,Mental Health and Addiction Organization,Mental Health Services,Alpha Court Non-Profit Housing Inc.,,,,270 Windsor Street,C/O Boys & Girls Club Of Thunder Bay,Practice Location,Thunder Bay,P7B1V5,2025/04/09 21:31:21+00,2025/04/09 14:31:00+00,2025/04/09 17:54:59+00,2366353
-80.441558,43.4331069,321016143,8876237,Pharmacy,Retail Pharmacy,Whole Health Pharmacy On Weber,,,,2-1335 Weber Street East,,,Kitchener,N2A3A7,2025/04/09 21:34:39+00,2025/04/09 14:48:45+00,2025/04/09 17:54:59+00,2366369
-80.5286556,43.4857942,321008902,4365,Community Support Service,,Community Support Connections - Meals On Wheels And More,,,,420 Weber Street North,,,Waterloo,N2L4E7,2025/04/09 21:35:50+00,2025/04/09 14:35:20+00,2025/04/09 17:54:59+00,2366385
-79.6633795,43.6048694,321013078,4577997,Pharmacy,Retail Pharmacy,Ceremonial Pharmacy,,,,2-223 Ceremonial Drive,,,Mississauga,L5R2N3,2025/04/09 21:38:10+00,2025/04/09 14:43:04+00,2025/04/09 17:54:59+00,2366401
-77.1375306,44.0158836,321008376,4018,Licensed Lab and Specimen Collection Centre,Licensed Hospital Lab Location,Quinte Health Care - Prince Edward County Memorial Hospital,,,,403 Main Street East P.O. Box 1900,,"Billing, Administration, & Practice Address",Picton,K0K2T0,2025/04/09 21:37:10+00,2025/04/09 14:34:23+00,2025/04/09 17:54:59+00,2366417
-78.9149422,42.9207907,321014188,6322053,Pharmacy,Long Term Care Facility,Gilmore Lodge,,,,50 Gilmore Road,,,Fort Erie,L2A2M1,2025/04/09 21:31:10+00,2025/04/09 14:45:06+00,2025/04/09 17:54:59+00,2366433
-79.3459362,43.7372436,321015670,8330834,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1330,,,,946 Lawrence Avenue East,,,Toronto,M3C1R1,2025/04/09 21:31:51+00,2025/04/09 14:47:52+00,2025/04/09 17:54:59+00,2366449
-79.4046021,43.7070078,321010508,999264,Seniors Active Living Centre,,Second Mile Club - Orchard View Recreation Centre,Second Mile Club - Orchard View Recreation Centre,,,174 Orchard View Boulevard,,,Toronto,M4R1C3,2025/04/09 21:35:04+00,2025/04/09 14:38:14+00,2025/04/09 17:54:59+00,2366465
-76.4851617,44.2386033,321014293,6483156,Pharmacy,Retail Pharmacy,B&B Pharmacy,,,,3-235 Montreal Street,,,Kingston,K7K3G6,2025/04/09 21:34:38+00,2025/04/09 14:45:18+00,2025/04/09 17:54:59+00,2366481
-79.1668759,43.7720064,321013256,4916835,Pharmacy,Retail Pharmacy,The Medicine Shoppe #183,,,,164 Bennett Road,,,Scarborough,M1E3Y3,2025/04/09 21:36:29+00,2025/04/09 14:43:23+00,2025/04/09 17:54:59+00,2366497
-75.6662506,44.6053317,321008068,3684,Mental Health and Addiction Organization,Mental Health Services,Royal Ottawa Health Care Group/Services Des Santé Royal Ottawa,,,,1804 Highway 2 East,Brockville Mental Health Centre,Practice Location,Brockville,K6V5W7,2025/04/09 21:30:23+00,2025/04/09 14:33:50+00,2025/04/09 17:54:59+00,2366513
-79.8536974,43.2531762,321008609,4151,Community Support Service,,Ontario March Of Dimes - Hamilton,,,,20 Emerald Street North #309,,,Hamilton,L8L8A4,2025/04/09 21:31:43+00,2025/04/09 14:34:48+00,2025/04/09 17:54:59+00,2366529
-79.2921508,43.7841862,321012066,236293,Pharmacy,Retail Pharmacy,Wal-Mart Pharmacy,,,,3850 Sheppard Av East,,,Agincourt,M1T3L4,2025/04/09 21:35:03+00,2025/04/09 14:41:09+00,2025/04/09 17:54:59+00,2366545
-79.7483084,43.7645542,321012463,3342797,Pharmacy,Retail Pharmacy,Sandalwood Care Pharmacy,,,,10510 Torbram Road,,,Brampton,L6R3N9,2025/04/09 21:34:18+00,2025/04/09 14:41:54+00,2025/04/09 17:54:59+00,2366561
-79.6872529,43.513546,321017012,9648072,Pharmacy,Retail Pharmacy,Scalerx,,,,400-2620 Bristol Cir,,,Oakville,L6H6Z7,2025/04/09 21:36:03+00,2025/04/09 14:50:24+00,2025/04/09 17:54:59+00,2366577
-79.3246714,43.7408362,321011813,1654374,Pharmacy,Allergen Supplier,Don-Al Lab Services Ltd,,,,1200 Lawrence Avenue East Suite 303,,,Don Mills,M3A1C1,2025/04/09 21:36:35+00,2025/04/09 14:40:40+00,2025/04/09 17:54:59+00,2366593
-79.6838008,43.5430581,321009144,4607,Community Support Service,,The Canadian Hearing Society - Peel/Waterloo Region,,,,"2227 South Millway, Suite 300",,,Mississauga,L5L3R6,2025/04/09 21:33:55+00,2025/04/09 14:35:46+00,2025/04/09 17:54:59+00,2366609
-94.4877318,49.7651684000001,321006360,120,Indigenous Primary Health Care Organization,Site,Waasegiizhig Nanaandawe'Iyewigamig,,,,212 Fourth Avenue South,,,Kenora,P9N1Y9,2025/04/09 21:30:42+00,2025/04/09 14:30:33+00,2025/04/09 17:54:59+00,2366625
-79.378936,43.6617676,321009102,4558,Community Support Service,,Toronto People With AIDS Foundation,,,,"399 Church Street, 2nd Floor",,,Toronto,M5B2J6,2025/04/09 21:35:41+00,2025/04/09 14:35:42+00,2025/04/09 17:54:59+00,2366641
-78.6168725,43.8991121,321013221,4833675,Pharmacy,Retail Pharmacy,Wilmot Creek Pharmacy,,,,2-1 Wheelhouse Drive,,,Newcastle,L1B1B9,2025/04/09 21:38:17+00,2025/04/09 14:43:19+00,2025/04/09 17:54:59+00,2366657
-79.7863714,43.6345859,321014987,7426190,Pharmacy,Retail Pharmacy,Whole Health Pmcy Riverview,,,,75 Montpelier Street,Unit E105,,Brampton,L6Y0C3,2025/04/09 21:36:35+00,2025/04/09 14:46:35+00,2025/04/09 17:54:59+00,2366673
-81.6150634,44.1762145,321014906,7305677,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1420,,,,781 Broadway Street,,,Kincardine,N2Z2G1,2025/04/09 21:31:14+00,2025/04/09 14:46:26+00,2025/04/09 17:54:59+00,2366689
-79.8393872,43.2284379,321012931,4316779,Pharmacy,Retail Pharmacy,Upper Gage Pharmacy,,,,558 Upper Gage Avenue Unit 6,,,Hamilton,L8V4J6,2025/04/09 21:32:55+00,2025/04/09 14:42:47+00,2025/04/09 17:54:59+00,2366705
-75.6718962,45.350487,321015537,8160919,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #629,,,,3310 Mccarthy Road,,,Ottawa,K1V9S1,2025/04/09 21:33:45+00,2025/04/09 14:47:37+00,2025/04/09 17:54:59+00,2366721
-79.717592,43.722634,321007829,3311,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,,,,18 Kensington Road,,Practice Address,Brampton,L6T4S5,2025/04/09 21:37:26+00,2025/04/09 14:33:24+00,2025/04/09 17:54:59+00,2366737
-82.9016744,42.312944,321014757,7121232,Pharmacy,Retail Pharmacy,Banwell Pharmacy,,,,11400 Tecumseh Road East,,,Windsor,N8N1L7,2025/04/09 21:36:26+00,2025/04/09 14:46:10+00,2025/04/09 17:54:59+00,2366753
-79.3035339,43.6882324,321016999,9637075,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #814,,,,2494 Danforth Avenue,,,Toronto,M4C1K9,2025/04/09 21:30:00+00,2025/04/09 14:50:22+00,2025/04/09 17:54:59+00,2366769
-79.8371155,43.2451278,321017415,9424,Hospital,Site,Hamilton Health Sciences - St. Peter's Hospital,,Hamilton Health Sciences,,88 Maplewood Avenue,,,Hamilton,L8M1W9,2025/04/09 21:35:33+00,2025/04/09 14:51:09+00,2025/04/09 17:54:59+00,2366785
-79.4501661,43.8698474,321012745,3974113,Pharmacy,Long Term Care Facility,Mackenzie Health LTC Facility,,,,10 Trench Street,,,Richmond Hill,L4C4Z3,2025/04/09 21:38:13+00,2025/04/09 14:42:26+00,2025/04/09 17:54:59+00,2366801
-81.6290703,42.9503763,321015697,8362194,Pharmacy,Retail Pharmacy,Pharmacy On Metcalfe,,,,278 Metcalfe Street West,,,Strathroy,N7G1N3,2025/04/09 21:31:03+00,2025/04/09 14:47:55+00,2025/04/09 17:54:59+00,2366817
-78.8796603,43.8898693,321008040,366,Community Support Service,,Alzheimer Society Of Durham Region,,,,419 King Street West Suite 207,,,Oshawa,L1J2K5,2025/04/09 21:32:23+00,2025/04/09 14:33:47+00,2025/04/09 17:54:59+00,2366833
-80.3159094,43.3916181,321012548,3522753,Pharmacy,Retail Pharmacy,Drugstore Pharmacy #533,,,,400 Conestoga Boulevard,,,Cambridge,N1R7L7,2025/04/09 21:37:13+00,2025/04/09 14:42:04+00,2025/04/09 17:54:59+00,2366849
-79.4655281,43.6700428,321006649,1752,Mental Health and Addiction Organization,Addiction Services,"Society Of St. Vincent De Paul, Toronto Central Council",,,,88 Mulock Avenue,,Practice Location,Toronto,M6N3C6,2025/04/09 21:30:01+00,2025/04/09 14:31:13+00,2025/04/09 17:54:59+00,2366865
-79.3124868,43.6862605,321016196,894116,Pharmacy,Retail Pharmacy,The Drugstore Pharmacy #4114,,,,985 Woodbine Avenue,,,Toronto,M4C4B8,2025/04/09 21:35:21+00,2025/04/09 14:48:51+00,2025/04/09 17:54:59+00,2366881
-79.2773361,43.8262763,321009716,7209495,Integrated Community Health Services Centre,"Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",Agincourt Pulmonary Services,,Dr. Charles K.N. Chan,,240 Alton Towers Circle,Suite 208,,Scarborough,M1V4P3,2025/04/09 21:37:57+00,2025/04/09 14:36:48+00,2025/04/09 17:54:59+00,2366897
-79.3190262,43.6733625,321017122,9717390,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #5377,,,,265 Coxwell Avenue,,,Toronto,M4L3B5,2025/04/09 21:33:03+00,2025/04/09 14:50:36+00,2025/04/09 17:54:59+00,2366913
-81.9768861,42.5520038,321010550,999307,Seniors Active Living Centre,,Thamesville Happy Club,Thamesville Happy Club,,,96 London Road,,,Thamesville,N0P2K0,2025/04/09 21:32:17+00,2025/04/09 14:38:19+00,2025/04/09 17:54:59+00,2366929
-80.2483948,43.5609561,321012126,2542270,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1085,,,,377 Eramosa Road,,,Guelph,N1E2N1,2025/04/09 21:37:06+00,2025/04/09 14:41:16+00,2025/04/09 17:54:59+00,2366945
-83.0740717,42.3080311000001,321017299,9960456,Pharmacy,Long Term Care Facility,Chateau Park Long Term Care,,,,2990 Riverside Drive West,,,Windsor,N9C1A2,2025/04/09 21:29:47+00,2025/04/09 14:50:56+00,2025/04/09 17:54:59+00,2366961
-76.1253353,45.1334751,321014698,704713,Pharmacy,Retail Pharmacy,Wal-Mart Pharmacy,,,,450 Mcneely Avenue,,,Carleton Place,K7C0A6,2025/04/09 21:37:56+00,2025/04/09 14:46:03+00,2025/04/09 17:54:59+00,2366977
-79.6683563,44.3733117,321010822,N0418,Licensed Retirement Home,,Serenity Barrie,,,,410 Hurst Drive,,,Barrie,L4N6N1,2025/04/09 21:35:08+00,2025/04/09 14:38:48+00,2025/04/09 17:54:59+00,2366993
-79.2687259,43.731482,321010185,9593010,Integrated Community Health Services Centre,"Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - Spect",Scarborough Cardiac Diagnostic Centre,,Northwest Nuclear Imaging Limited,,2391 Eglinton Avenue East,,,Scarborough,M1K2M5,2025/04/09 21:37:39+00,2025/04/09 14:37:40+00,2025/04/09 17:54:59+00,2367009
-79.7113009,43.3957863,321014074,6167319,Pharmacy,Retail Pharmacy,Rexall #2444,,,,2441 Lakesshore Road West,Unit 100,,Oakville,L6L1H6,2025/04/09 21:36:14+00,2025/04/09 14:44:53+00,2025/04/09 17:54:59+00,2367025
-79.8724923,43.2496504,321014245,6423630,Pharmacy,Retail Pharmacy,Charlton Pharmacy,,,,232-230 James Street South,,,Hamilton,L8P3B3,2025/04/09 21:31:37+00,2025/04/09 14:45:13+00,2025/04/09 17:54:59+00,2367041
-79.4618431,43.9880083,321007731,3152,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Your Support Services Network,,,,240 Edward Street,Suite: 3,Administration And Practice Location,Aurora,L4G3S9,2025/04/09 21:34:53+00,2025/04/09 14:33:13+00,2025/04/09 17:54:59+00,2367057
-80.7110628,43.3798279,321013245,4900432,Pharmacy,Retail Pharmacy,Town Square Pharmacy,,,,D-100 Mill Street,,,New Hamburg,N3A1R1,2025/04/09 21:34:40+00,2025/04/09 14:43:22+00,2025/04/09 17:54:59+00,2367073
-79.6636267,43.5672852,321009227,4849,Community Support Service,,Vision Loss Rehabilitation Canada - Halton Peel,,,,1270 Central Parkway West,,,Mississauga,L5C4P4,2025/04/09 21:36:32+00,2025/04/09 14:35:55+00,2025/04/09 17:54:59+00,2367089
-78.9386232,43.8725435,321010578,999336,Seniors Active Living Centre,,The Town Of Whitby - Whitby 55+ Recreation Centre,The Town Of Whitby - Whitby 55+ Recreation Centre,,,801 Brock Street South,,,Whitby,L1N4L4,2025/04/09 21:31:49+00,2025/04/09 14:38:22+00,2025/04/09 17:54:59+00,2367105
-79.2305904,43.725276,321017106,9706197,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #811,,,,2999 Kingston Road,,,Scarborough,M1M1P1,2025/04/09 21:35:01+00,2025/04/09 14:50:34+00,2025/04/09 17:54:59+00,2367121
-79.5693769,44.1124258,321016175,8914311,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #696,,,,140 Holland Street West,,,Bradford,L3Z1B0,2025/04/09 21:34:17+00,2025/04/09 14:48:49+00,2025/04/09 17:54:59+00,2367137
-79.7653293,43.6812474,321014386,6624913,Pharmacy,Retail Pharmacy,Downtown Brampton Pharmacy,,,,192 Queen Street West,,,Brampton,L6X1A8,2025/04/09 21:30:38+00,2025/04/09 14:45:28+00,2025/04/09 17:54:59+00,2367153
-79.3135672,43.8792044,321007726,31489,Mental Health and Addiction Organization,Addiction Services,Addiction Services Central Ontario,,,,9249 Kennedy Road,Suite: 101,Practice Location,Unionville,L3R6H9,2025/04/09 21:36:42+00,2025/04/09 14:33:13+00,2025/04/09 17:54:59+00,2367169
-75.643492,45.4428486,321006791,1966725,Integrated Community Health Services Centre,"Bone Mineral Dxa, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",Canadian Diagnostic Network,,Canadian Diagnostic Network Inc.,,595 Montreal Road,Suite 205,,Ottawa,K1K4L2,2025/04/09 21:36:09+00,2025/04/09 14:31:29+00,2025/04/09 17:54:59+00,2367185
-79.5634606,43.1951325,321015390,7989199,Pharmacy,Retail Pharmacy,Boggio & Hodgins Pharmacy,,,,3-80 Main Street West,,,Grimsby,L3M1R6,2025/04/09 21:36:48+00,2025/04/09 14:47:21+00,2025/04/09 17:54:59+00,2367201
-79.0313682,43.8607964,321011967,210916,Pharmacy,Retail Pharmacy,Loblaw Pharmacy #1012,,,,30 Kingston Road West,,,Ajax,L1T4K8,2025/04/09 21:35:20+00,2025/04/09 14:40:58+00,2025/04/09 17:54:59+00,2367217
-80.5983802,42.9876073,321013291,4971793,Pharmacy,Retail Pharmacy,Norwich Pharmacy Pharmasave,,,,24 Main Street West,,,Norwich,N0J1P0,2025/04/09 21:34:29+00,2025/04/09 14:43:27+00,2025/04/09 17:54:59+00,2367233
-79.7374865,43.4611585,321013737,5682512,Pharmacy,Retail Pharmacy,River Glen Pharmacy,,,,8-575 River Glen Boulevard,,,Oakville,L6H6X6,2025/04/09 21:34:12+00,2025/04/09 14:44:16+00,2025/04/09 17:54:59+00,2367249
-77.0866482,45.8236381,321010684,N0051,Licensed Retirement Home,,Chartwell Pinewood Retirement Residence,,,,1022 Pembroke Street East,,,Pembroke,K8A8A7,2025/04/09 21:30:24+00,2025/04/09 14:38:33+00,2025/04/09 17:54:59+00,2367265
-79.581016,43.5608823,321008757,4247,Community Support Service,,Alzheimer Society Of Peel,,,,"60 Briarwood Avenue,",,,Mississauga,L5G3N6,2025/04/09 21:36:34+00,2025/04/09 14:35:05+00,2025/04/09 17:54:59+00,2367281
-79.4122272,43.8970471,321011413,T0595,Licensed Retirement Home,,Brookside Court/Hilltop Place,,,,980-1000 Elgin Mills Road,,,Richmond Hill,L4S1M4,2025/04/09 21:35:58+00,2025/04/09 14:39:55+00,2025/04/09 17:54:59+00,2367297
-89.2453497,48.4291444,321007090,2383,Mental Health and Addiction Organization,Addiction Services,St. Joseph's Care Group,,,,500 Oliver Road,,Practice Location,Thunder Bay,P7B2H1,2025/04/09 21:36:48+00,2025/04/09 14:32:02+00,2025/04/09 17:54:59+00,2367313
-81.6351359,44.1765014,321011840,1738631,Pharmacy,Retail Pharmacy,Gordon Pharmasave,,,,767 Queen Street,,,Kincardine,N2Z2Z4,2025/04/09 21:34:00+00,2025/04/09 14:40:44+00,2025/04/09 17:54:59+00,2367329
-79.8076633,43.4050746,321015167,7657350,Pharmacy,Retail Pharmacy,Millcroft Pharmacy,,,,D10-2500 Appleby Line,,,Burlington,L7L0A2,2025/04/09 21:38:00+00,2025/04/09 14:46:56+00,2025/04/09 17:54:59+00,2367345
-79.3971964999999,43.6528988,321012991,4414672,Pharmacy,Retail Pharmacy,On Care Pharmacy,,,,481 Dundas Street West,,,Toronto,M5T1H1,2025/04/09 21:33:14+00,2025/04/09 14:42:54+00,2025/04/09 17:54:59+00,2367361
-79.3804293,43.7347062,321006204,100885,HIV AIDS and Hep C Program,CBAESP,"Ontario Association Of The Deaf, Deaf Outreach Project",,,,2395 Bayview Avenue,,Practice Location,Toronto,M2L1A2,2025/04/09 21:30:50+00,2025/04/09 14:30:14+00,2025/04/09 17:54:59+00,2367377
-80.3005401,43.3910765,321014442,6711016,Pharmacy,Retail Pharmacy,Pharmasave Monarch Pharmacy,,,,95 Saginaw Parkway Unit 2A,,,Cambridge,N1T1W2,2025/04/09 21:32:16+00,2025/04/09 14:45:35+00,2025/04/09 17:54:59+00,2367393
-75.6885533,45.4144869,321010247,999004,Seniors Active Living Centre,,Active At Home - Blair House,Active At Home - Blair House,,,205 Gladstone Avenue,,,Ottawa,K2P0Y5,2025/04/09 21:37:04+00,2025/04/09 14:37:47+00,2025/04/09 17:54:59+00,2367409
-79.2147172,43.1458021,321015804,8488291,Pharmacy,Retail Pharmacy,Merritton Community Pharmacy,,,,3-491 Merritt Street,,,St. Catharines,L2P1P2,2025/04/09 21:30:17+00,2025/04/09 14:48:07+00,2025/04/09 17:54:59+00,2367425
-80.9108935,44.5696299,321008191,3821,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (Cmha) Grey Bruce,,,,1800 8th Street East,Brightshores Health System - Owen Sound Hospital,Practice Location,Owen Sound,N4K6M9,2025/04/09 21:36:04+00,2025/04/09 14:34:03+00,2025/04/09 17:54:59+00,2367441
-82.1648152,42.8844692,321017646,1243,Long-Term Care Home,MHFA,Lambton Meadowview Villa,,,,3958 Petrolia Line,,,Petrolia,N0N1R0,2025/04/09 21:37:53+00,2025/04/09 16:03:51+00,2025/04/09 17:54:59+00,2367457
-79.4664299,43.7593057,321015933,8633035,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #922,,,,1115 Lodestar Road,Building E,,Toronto,M3J0G9,2025/04/09 21:35:15+00,2025/04/09 14:48:21+00,2025/04/09 17:54:59+00,2367473
-82.8729505,42.3125783,321012743,3966033,Pharmacy,Retail Pharmacy,Tecumseh Pharmasave,,,,1-13126 Tecumseh Road East,,,Tecumseh,N8N3T4,2025/04/09 21:37:35+00,2025/04/09 14:42:26+00,2025/04/09 17:54:59+00,2367489
-79.6455579,43.6306956,321008401,4030,Community Support Service,,Hearthouse Hospice Inc.,,,,855 Matheson Boulevard East,,,Mississauga,L4W4L6,2025/04/09 21:32:14+00,2025/04/09 14:34:26+00,2025/04/09 17:54:59+00,2367505
-80.9627097,44.568185,321011686,1376718,Pharmacy,Home For Special Care,Kent-Owen Sound Residential,,,,1065-9th Avenue West,,,Owen Sound,N4K5R8,2025/04/09 21:37:30+00,2025/04/09 14:40:26+00,2025/04/09 17:54:59+00,2367521
-79.8709389,43.2514298,321009401,5515053,Integrated Community Health Services Centre,Ophthalmic Ultrasound,Sharda Eye Institute,,Sharda Medicine Professional Corporation,,1 Young Street,Suite 302,,Hamilton,L8N1T8,2025/04/09 21:29:39+00,2025/04/09 14:36:14+00,2025/04/09 17:54:59+00,2367537
-79.7814228,43.6999779,321018029,1719,Long-Term Care Home,MHFA,Peel Manor,,,,525 Main Street North,,,Brampton,L6X1N9,2025/04/09 21:32:00+00,2025/04/09 16:42:08+00,2025/04/09 17:54:59+00,2367553
